run_accession	fastq_ftp
SRR6468604	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468604/SRR6468604.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468604/SRR6468604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468604/SRR6468604_2.fastq.gz
SRR6468610	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468610/SRR6468610.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468610/SRR6468610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468610/SRR6468610_2.fastq.gz
SRR6468611	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468611/SRR6468611.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468611/SRR6468611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468611/SRR6468611_2.fastq.gz
SRR6468613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468613/SRR6468613.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468613/SRR6468613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468613/SRR6468613_2.fastq.gz
SRR6468614	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468614/SRR6468614.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468614/SRR6468614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468614/SRR6468614_2.fastq.gz
SRR6468620	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468620/SRR6468620.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468620/SRR6468620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468620/SRR6468620_2.fastq.gz
SRR6468621	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468621/SRR6468621.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468621/SRR6468621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468621/SRR6468621_2.fastq.gz
SRR6468624	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468624/SRR6468624.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468624/SRR6468624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468624/SRR6468624_2.fastq.gz
SRR6468634	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468634/SRR6468634.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468634/SRR6468634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468634/SRR6468634_2.fastq.gz
SRR6468638	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468638/SRR6468638.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468638/SRR6468638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468638/SRR6468638_2.fastq.gz
SRR6468641	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468641/SRR6468641.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468641/SRR6468641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468641/SRR6468641_2.fastq.gz
SRR6468643	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468643/SRR6468643.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468643/SRR6468643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468643/SRR6468643_2.fastq.gz
SRR6468645	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468645/SRR6468645.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468645/SRR6468645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468645/SRR6468645_2.fastq.gz
SRR6468647	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468647/SRR6468647.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468647/SRR6468647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468647/SRR6468647_2.fastq.gz
SRR6468649	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468649/SRR6468649.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468649/SRR6468649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468649/SRR6468649_2.fastq.gz
SRR6468650	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468650/SRR6468650.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468650/SRR6468650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468650/SRR6468650_2.fastq.gz
SRR6468652	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468652/SRR6468652.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468652/SRR6468652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468652/SRR6468652_2.fastq.gz
